Sigla,Codigo,Município,Despesa,Receita,score_total,Receita-capital,Despesa-capital,score_capital,PIB
PR,4110078,Imbaú,10027680,17601154,0.5697171932,"634,871",2105901,3.317051,51463
PR,4110102,Imbituva,21625209,35534993,0.6085609489,"1,026,975",2506870,2.441024,121612
PR,4110201,Inácio Martins,9410258,20177518,0.4663734227,"2,084,248",2214187,1.062344,43207
PR,4110300,Inajá,4985024,7954734,0.6266738278,"132,570",838183,6.322569,14567
PR,4110409,Indianópolis,6394851,10330616,0.6190193411,"163,874",540998,3.301305,67516
PR,4110508,Ipiranga,15688738,26852300,0.5842604865,"165,905",3098714,18.677625,70647
PR,4110607,Iporã,11691067,26739459,0.4372215265,"2,922,520",3252828,1.113022,89943
PR,4110656,Iracema do Oeste,5282023,9270624,0.5697591474,"62,736",801141,12.770036,16993
PR,4110706,Irati,38801732,81933506,0.4735758736,"842,546",9325994,11.068821,317294
PR,4110805,Iretama,9996243,19594265,0.5101616686,0,1298551,#DIV/0!,41117
PR,4110904,Itaguajé,5199981,11268939,0.4614437015,"433,801",886912,2.044514,19588
PR,4110953,Itaipulândia,15267090,42324097,0.3607186145,"1,845,954",9885150,5.355036,58541
PR,4111001,Itambaracá,,,#DIV/0!,0,1511463,#DIV/0!,31528
PR,4111100,Itambé,6695955,12923078,0.5181393374,"845,745",1133660,1.340428,38349
PR,4111209,Itapejara d'Oeste,9718180,21901519,0.4437217325,"3,420,978",5204395,1.521318,77818
PR,4111258,Itaperuçu,13790170,31159843,0.4425622601,"516,040",4113505,7.971285,91465
PR,4111308,Itaúna do Sul,5705255,9885614,0.5771270224,"674,594",882305,1.307905,14840
PR,4111407,Ivaí,9830428,19828408,0.4957749632,"191,680",2253331,11.755692,61805
PR,4111506,Ivaiporã,19495370,41146157,0.4738078036,"2,816,397",5644996,2.004333,157027
PR,4111555,Ivaté,6639111,14476613,0.4586094196,"1,642,016",2422577,1.475368,58702
PR,4111605,Ivatuba,5174127,9747242,0.5308298924,"452,882",1601741,3.536770,14838
PR,4111704,Jaboti,5192009,10637941,0.4880652119,"35,317",635886,18.004862,16831
PR,4111803,Jacarezinho,30044900,58478140,0.5137800208,"4,100,128",8556924,2.086989,254063
PR,4111902,Jaguapitã,14719410,24852333,0.592274805,"1,986,173",4871957,2.452936,154845
PR,4112009,Jaguariaíva,27999406,57174113,0.4897217415,"1,966,679",5941959,3.021316,254162
PR,4112108,Jandaia do Sul,16220175,30697644,0.5283850071,"10,433,735",11769396,1.128014,123635
PR,4112207,Janiópolis,7803500,13757433,0.567220631,"1,320,885",2324109,1.759509,35344
PR,4112306,Japira,5997149,11875600,0.5049975611,"26,999",900394,33.349161,20277
PR,4112405,Japurá,7506418,12476431,0.6016478756,"222,750",1357337,6.093544,40088
PR,4112504,Jardim Alegre,11696156,19943608,0.5864613764,"528,439",2668547,5.049869,50984
